kind,n_sats_halo,log_luminosity_r01
0,0,7.7029905
0,2,8.770837
0,0,9.160398
0,0,7.9951844
0,0,7.978048
0,1,7.609094
0,0,7.7255135
0,0,7.897669
0,0,8.590705
0,0,8.080291
0,3,9.243217
0,0,7.4676003
0,1,7.829899
0,0,7.988426
0,0,7.8357325
0,1,8.710079
0,1,8.72121
0,1,8.9229765
0,0,8.729367
0,0,7.8036137
0,0,7.5853815
0,0,7.5103645
0,0,7.752604
0,0,7.660145
0,17,10.52137
0,0,7.7889037
0,0,7.5966444
0,0,8.424678
0,0,7.5728917
0,2,8.184287
0,1,8.270763
0,0,7.675529
0,0,8.04627
0,0,8.256389
0,1,8.386964
0,0,8.292073
0,0,7.7649946
0,0,8.17252
0,3,9.901249
0,0,8.399563
0,0,7.78664
0,2,8.903787
0,1,8.16167
0,0,7.5633082
0,1,7.8478684
0,0,7.7133803
0,0,8.143397
0,0,7.8428645
0,0,8.01135
0,0,8.061303
0,0,8.284185
0,1,9.5232525
0,0,7.7284555
0,0,7.6527367
0,2,10.268003
0,0,7.905446
0,0,7.7525234
0,0,7.788101
0,1,8.645068
0,1,8.037249
0,0,7.6380653
0,0,8.172111
0,0,7.8426766
0,0,8.440747
0,0,7.980177
0,0,8.145204
0,0,7.6353416
0,6,9.657514
0,1,8.8856125
0,0,8.055941
0,1,8.3502245
0,0,7.8157454
0,0,7.4128556
0,1,7.700761
0,0,8.304094
0,0,7.5525756
0,0,8.999771
0,0,7.6398506
0,0,8.958176
0,0,8.678033
0,0,8.721565
0,3,9.51826
0,0,8.675387
0,3,8.719604
0,2,9.726153
0,4,9.503763
0,1,9.274789
0,2,9.287622
0,0,8.856139
0,0,8.801083
0,1,8.928166
0,0,9.195345
0,0,9.424586
0,3,9.793922
0,0,8.452236
0,0,8.895391
0,14,10.530594
0,0,9.086461
0,2,9.068388
0,0,9.32701
0,0,8.410946
0,4,9.787552
0,0,9.270088
0,3,8.94607
0,10,10.175866
0,2,9.50124
0,0,9.302434
0,0,9.059468
0,1,9.033434
0,3,9.935201
0,0,9.114996
0,2,9.1733675
0,1,9.416962
0,1,8.746995
0,0,8.694221
0,0,8.984387
0,0,9.284907
0,1,9.403621
0,2,7.8397923
0,0,8.8111
0,0,8.054763
0,0,8.841621
0,0,7.912458
0,0,8.84924
0,0,7.6851263
0,15,10.424839
0,0,9.09296
0,10,10.280696
0,0,8.710995
0,9,10.121506
0,0,8.758253
0,1,9.021645
0,0,8.731888
0,2,9.133616
0,0,9.06465
0,0,7.9977922
0,0,7.6009645
0,2,8.756591
0,0,7.780477
0,0,7.4739776
0,0,9.323627
0,0,8.240853
0,0,8.708713
0,0,7.912458
0,1,8.407382
0,0,7.3744555
0,2,9.499758
0,0,8.71696
0,0,8.060597
0,0,8.334372
0,4,9.370844
0,0,7.9204936
0,0,8.816833
0,1,9.313608
0,3,10.163299
0,2,9.267166
0,0,9.192766
0,7,9.861869
0,2,9.454131
0,1,8.816133
0,4,9.88212
0,1,9.0669565
0,1,8.7168255
0,1,9.239384
0,0,9.351193
0,8,10.252626
0,0,8.707125
0,0,8.77261
0,13,10.2637615
0,30,10.6416855
0,1,8.972535
0,1,8.728058
0,0,8.744153
0,1,9.288302
0,14,10.621317
0,0,9.84098
0,2,9.442116
0,0,8.840289
0,0,9.304356
0,1,8.834676
0,0,9.185033
0,0,9.028699
0,0,8.704583
0,0,9.115874
0,2,8.749063
0,2,9.526258
0,1,8.763969
0,0,9.073406
0,1,8.895743
0,1,9.338285
0,1,9.38717
0,1,8.894038
0,0,8.708401
0,2,9.587965
0,1,8.687543
0,3,9.244535
0,0,8.970197
0,3,8.877437
0,1,9.551204
0,2,9.230332
0,1,9.378181
0,1,8.781576
0,0,9.029242
0,1,8.88129
0,3,10.068079
0,1,8.867375
0,2,9.58796
0,1,9.255404
0,3,8.966232
0,2,9.24213
0,0,9.165536
0,5,8.920908
0,0,8.8062935
0,0,8.91716
0,0,8.945663
0,2,9.941894
0,1,8.749922
0,1,9.364015
0,1,8.98489
0,2,9.934455
0,1,9.122355
0,0,9.135671
0,1,8.760386
0,3,9.087367
0,6,10.357262
0,8,10.1726675
0,0,9.133189
0,3,9.945807
0,3,9.659004
0,0,8.724335
0,0,9.728798
0,0,8.927394
0,0,9.206237
0,3,10.039295
0,2,9.584378
0,1,9.91661
0,0,9.079383
0,0,8.89315
0,0,8.882829
0,0,8.684426
0,0,8.8377495
0,1,9.693683
0,0,9.071691
0,3,9.943549
0,0,9.471717
